2 8 0.0002 31 0.0002 10 0.0002 
3 59 0.0003 48 0.0003 24 0.0003 
4 38 0.0144 30 0.0124 54 0.0144 
5 29 0.10985 112 0.0924 142 0.1179 
6 32 0.147 52 0.1616 260 0.1616 
7 45 0.668767 44 0.666767 470 0.775867 
8 38 0.0216 33 0.00432 911 0.0216 
9 54 0.0567 27 0.0752 1855 0.07875 
10 101 0.0524 14 0.024 1947 0.075 
11 36 14.7252 54 14.5006 3031 15.4656 
12 30 7.70926 57 17.9955 6211 19.6017 
13 52 50.8816 40 48.71 13404 55.1061 
14 48 6.38827 69 5.8674 25855 8.34827 
15 15 8.7984 42 11.0912 55888 15.0394 
16 41 50.2448 58 61.4662 129176 91.4903 
17 108 174.795 46 134.904 322877 202.271 
18 47 5.7068 30 5.2472 527610 9.0812 
19 59 375.176 59 364.894 1455089 447.47
