2 10.6 0.0016 11.8 0.0016 10.08 0.0016 
3 22.6 0.048112 18.2 0.041824 17.72 0.0648 
4 23.28 0.1656 22.84 0.157888 20.48 0.2048 
5 12.32 0.052244 9.72 0.05122 22.6 0.0625 
6 8.44 3.33367 9.52 4.1394 47.2 7.8125 
7 10.2 2.98391 8.96 3.02745 109.16 64.76 
8 10.64 7.07205 10.36 1.78209 226.28 62.4984 
9 9.72 4.99518 12.16 2.49062 494.6 30.0125 
10 17 2.56918 11.8 8.93565 1216.04 172.497 
11 16.32 229.508 15.68 237.637 3001.6 1205.38 
12 17.72 115.457 14.64 108.644 
13 24 319.258 22.28 316.026 
14 20.16 123.999 15.36 80.7123 
15 23.72 1983.64 21.76 1904.94 
16 20.56 808.864 22.68 795.186 
17 23.28 17511.9 22.16 17224.8 
18 19.92 4412.03 26.48 4884.92 
19 20.6 15.4522 26.68 181.799 
20 27.16 36875.3 30.56 40941.9 
21 29.12 34835.5 29.72 36655.1 
22 23.32 36699.5 29.68 50052.2 
23 32.28 8802.49 33.76 9413.99 
24 27.28 36717.2 34.72 37800 
25 29.76 4006.58 32.4 3765.67 
26 38.04 466440 42.32 495369 
